ALB ,BSG 
ITGB5 ,PPT1 
ALB ,PPT1 
TF ,SDF4 
TF ,BSG 
ITGB5 ,C1QBP 
EL52 ,HSPA13 
ITGB5 ,P3H1 
PKM ,DCD 
TF ,PPT1 
ALB ,ATP1B3 
ALB ,HSPA13 
EL52 ,ITIH1 
PKM ,HMGB1 
P4HB ,SDF4 
TF ,C1QBP 
EL52 ,YARS1 
APOC3 ,PPT1 
ANXA1 ,SDF4 
APOE ,CLU 
ITGB5 ,CD44 
TF ,DPP7 
ANXA2 ,ANXA2 
ITGB5 ,BSG 
PIGR ,C1QBP 
TF ,DCD 
A2M ,C1QBP 
EL52 ,ERP44 
ANXA1 ,HYOU1 
ITGB1 ,ITGB4
ANXA1 ,CLU 
APOC1 ,PPT1 
EL52 ,DPP7 
EL52 ,ITGB4
ITGB5 ,HYOU1 
APOC3 ,TSPEAR 
ITGB5 ,TSPEAR 
ANXA1 ,P3H1 
TF ,LGALS3BP 
ALB ,ALB 
ITGB1 ,ITGB1 
ITGB5 ,CLU 
TFRC ,RYR2 
ANXA5 ,DCD 
EL52 ,PKM
ITGB5 ,ANXA2 
TF ,HYOU1 
KRT1 ,HSPA13 
ALB ,P3H1 
CFD ,HYOU1 
ANXA2 ,SDF4 
LTF ,C1QBP 
P4HB ,HSPA13 
HP ,C1QBP 
EL52 ,PPT1 
ITGB5 ,ATP1B3 
TF ,ITGB1 
TFRC ,ITIH1 
ITGB5 ,DPP7 
APOC1 ,ATP1B3 
ALB ,SIAE 
ITGB1 ,ITIH1 
EL52 ,IGF2R 
TF ,CD44 
ITGB5 ,HSPA13 
ITGB5 ,SDF2L1 
TFRC ,ALB 
ITGB5 ,LGALS3BP 
ITGB5 ,M6PR 
ANXA5 ,SDF4 
ANXA2 ,BSG 
ANXA1 ,ALB 
TF ,HSPA13 
CALU ,HMGB1 
ALB ,HYOU1 
ITGB5 ,PRSS3 
P4HB ,PPT1 
HP ,CLU 
ITGB5 ,ITGB4 
CP ,BSG 
ANXA2 ,ALB 
VTN ,BSG 
ITGB1 ,ITGA6
PKM ,CLU 
TF ,ATP1B3 
APOE ,SDF4 
ITGB5 ,SDF4 
SERPING1 ,C1QBP 
TF ,M6PR 
ALB ,LGALS3BP 
LAMC1 ,ITGA11 
KRT1 ,P3H1 
CALU ,CLU 
CFD ,PPT1 
P4HB ,C1QBP 
ITGB5 ,TREML2 
EL52 ,TSPEAR 
ANXA1 ,DCD 
ALB ,TSPEAR 
ALB ,PKM 
SERPINA1 ,DCD 
ALB ,SAR1A 
ANXA5 ,HMGB1 
CP ,PPT1 
ITGB5 ,SDF2 
ALB ,PRDX5 
APOC3 ,ANXA5 
ITGB3 ,HYOU1 
HEL111 ,PPT1 
TF ,PKM 
ALDOA ,SDF4 
ALB ,CD44 
VTN ,HYOU1 
ALB ,SDF4 
TF ,SDF2 
ITGB5 ,CALR 
TF ,KLK3 
PKM ,SDF4 
ITGA5 ,ITIH1 
ALB ,M6PR 
APOC1 ,ANXA2 
APOC3 ,BSG 
EL52 ,ITGA3 
APOC3 ,HSPA13 
GUSB ,C1QBP 
APOC3 ,ANXA2 
ITGA5 ,ITGA5 
LAMC1 ,C1QBP 
APOE ,HYOU1 
KRT1 ,ATP1B3 
CST3 ,C1QBP 
ALDOA ,ALB 
APOC1 ,BSG 
SERPING1 ,BSG 
APOC3 ,SDF4 
APOC1 ,ANXA5 
TF ,ITIH1 
ITGB1 ,PAPPA 
ANXA1 ,RYR2 
EL52 ,BTD 
ALB ,BTD 
TOR1A ,DCD 
RPSA ,HYOU1 
ALB ,HSP90B1 
TF ,CD276 
TF ,TSPEAR 
FGA ,P3H1 
ITGB3 ,HSPA13 
EGFR ,HYOU1 
ITGB1 ,PRSS3 
APOA2 ,BSG 
APOE ,C1QBP 
EL52 ,ITGAV 
APOC1 ,PKM 
CLU ,ANXA2 
ITGB5 ,CD276 
