source,target,ligand,receptor,score
Breast cancer cells,Immune cells,B2M,CD3D,0.500000003
Breast cancer cells,Immune cells,B2M,CD3G,0.49168155
Breast cancer cells,Immune cells,B2M,HLA-F,0.139981173
Breast cancer cells,Immune cells,B2M,TFRC,0.140028004
Breast cancer cells,Immune cells,CALM3,AR,3.90E-06
Breast cancer cells,Immune cells,CCL28,GRM7,6.34E-08
Breast cancer cells,Immune cells,CXCL10,MTNR1A,2.47E-05
Breast cancer cells,Immune cells,CXCL9,CCR3,1.63E-05
Breast cancer cells,Immune cells,EFNB1,EPHA4,1.12E-07
Breast cancer cells,Immune cells,EFNB1,EPHB3,1.16E-08
Breast cancer cells,Immune cells,FGF17,FGFR1,1.99E-09
Breast cancer cells,Immune cells,FGG,ITGA2B,6.59E-09
Breast cancer cells,Immune cells,HSPG2,ITGA2,0.000200675
Breast cancer cells,Immune cells,LUM,ITGB1,0.000510707
Breast cancer cells,Immune cells,MIF,CD74,0.285498541
Breast cancer cells,Immune cells,NID1,ITGA3,1.82E-08
Breast cancer cells,Immune cells,NLGN3,NRXN3,1.03E-06
Breast cancer cells,Immune cells,RSPO1,LGR6,4.61E-05
Breast cancer cells,Immune cells,RTN4,GJB2,2.81E-07
Breast cancer cells,Immune cells,S100A8,CD68,0.000320859
Breast cancer cells,Immune cells,SPP1,CD44,0.00455973
Breast cancer cells,Immune cells,SYK,FCGR2A,3.02E-06
Breast cancer cells,Immune cells,TGM2,TBXA2R,0.001588497
Breast cancer cells,Immune cells,VCL,ITGB5,0.50000397
Breast cancer cells,Immune cells,WNT7B,FZD1,9.08E-08
Breast cancer cells,Stromal cells,B2M,CD3D,0
Breast cancer cells,Stromal cells,B2M,CD3G,0
Breast cancer cells,Stromal cells,B2M,HLA-F,0
Breast cancer cells,Stromal cells,B2M,TFRC,0
Breast cancer cells,Stromal cells,CALM3,AR,1.62E-07
Breast cancer cells,Stromal cells,CCL28,GRM7,3.43E-06
Breast cancer cells,Stromal cells,CXCL10,MTNR1A,4.28E-07
Breast cancer cells,Stromal cells,CXCL9,CCR3,4.30E-09
Breast cancer cells,Stromal cells,EFNB1,EPHA4,0.44499902
Breast cancer cells,Stromal cells,EFNB1,EPHB3,0.08158595
Breast cancer cells,Stromal cells,FGF17,FGFR1,1.06E-07
Breast cancer cells,Stromal cells,FGG,ITGA2B,1.00E-05
Breast cancer cells,Stromal cells,HSPG2,ITGA2,3.32E-08
Breast cancer cells,Stromal cells,LUM,ITGB1,0.000238809
Breast cancer cells,Stromal cells,MIF,CD74,0.500000001
Breast cancer cells,Stromal cells,NID1,ITGA3,1.40E-07
Breast cancer cells,Stromal cells,NLGN3,NRXN3,2.23E-09
Breast cancer cells,Stromal cells,RSPO1,LGR6,0.000270453
Breast cancer cells,Stromal cells,RTN4,GJB2,0.000101321
Breast cancer cells,Stromal cells,S100A8,CD68,0.000246979
Breast cancer cells,Stromal cells,SPP1,CD44,0.002002247
