CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
SEMA3F_PLXNA3,CTGF_ERBB4,RLN3_RXFP1,A2M_LRP1,Inhibin A_ACVR2A
SEMA3F_PLXNA1,CTGF_ITGA5,CDH1_KLRG1,ADAM10_EPHA3,Inhibin B_ACVR2B
SEMA3F_NRP1,CTGF_ITGAM,ESR1_FGFR2,ADAM11_ITGA4,WNT5B_FZD1
SEMA3F_NRP2,CTGF_ITGB2,NCAM1_GDNF,ADAM12_ITGA9,WNT5B_FZD3
CX3CL1_CX3CR1,CTGF_LRP1,LRP5_SOSTDC1,ADAM12_ITGB1,WNT5B_FZD4
HEBP1_ADRA2A,CTGF_LRP6,C5_C5AR2,ADAM12_SDC4,WNT5B_FZD6
HEBP1_MTNR1A,CTGF_NTRK1,TGFB2_TGFBR3,ADAM15_ITGA5,WNT5B_FZD7
HEBP1_FPR3,EGF_CAV1,CCR3_CCL14,ADAM15_ITGA9,WNT5B_FZD8
HEBP1_GRM7,EGF_EGFR,CCR3_CCL26,ADAM15_ITGAV,EGF_EGFR
DCN_EGFR,EGF_ERBB2,FGFR2_XPR1,ADAM15_ITGB1,TGFA_EGFR
DCN_MET,EGF_ERBB3,EFNA2_EPHA2,ADAM17_ITGA5,BTC_EGFR
DCN_ERBB4,EGF_ERBB4,FGFR1_NCAM1,ADAM17_ITGB1,BTC_ERBB4
GRN_EGFR,FGF10_FGFR1,BMP2_SMO,ADAM17_NOTCH1,HBEGF_EGFR
GRN_TNFRSF1A,FGF10_FGFR2,KLRG2_WNT5B,ADAM23_ITGA4,HBEGF_ERBB4
GRN_SORT1,FGF10_FGFR3,WNT4_SMO,ADAM23_ITGA5,NRG1_ERBB3
GRN_TNFRSF1B,FGF10_FGFR4,WNT16_WIF1,ADAM28_ITGA4,NRG1_ERBB4
GRN_CLEC4M,FGF11_FGFR1,WNT5B_WIF1,ADAM29_ITGA4,NRG2_ERBB3
UTS2_UTS2R,FGF11_FGFR2,WNT2B_WIF1,ADAM7_ITGA4,NRG2_ERBB4
ICAM3_CLEC4M,FGF11_FGFR3,WNT7B_WIF1,ADAM7_ITGB7,NRG3_ERBB4
ICAM3_ITGAL,FGF11_FGFR4,EFNB2_EPHB4,ADAM9_ITGA3,FGF1_FGFR1
ICAM3_ITGB2,FGF12_FGFR1,EPO_EPHB4,ADAM9_ITGA6,FGF1_FGFR2
ICAM3_CD209,FGF12_FGFR2,EFNB2_EPHB3,ADAM9_ITGAV,FGF1_FGFR4
ICAM3_ITGAD,FGF12_FGFR3,EFNB2_EPHB1,ADAM9_ITGB1,FGF5_FGFR1
